1348002649405329409,#onpoli,2021-01-09 20:24,vote4robgill,"Ontario Premier Doug Ford received HALF A MILLION DOLLARS from the PPP loan program in the United States, through h… https://t.co/czMkom5Hgq"
1347584246748246017,#onpoli,2021-01-08 16:41,HeatherCTV,Just received a text from an ICU doctor who predicts Ontario hospitals will need to begin “denying care and removin… https://t.co/ufPZDZRruR
1346883575782776832,#onpoli,2021-01-06 18:17,Travisdhanraj,"Premier @fordnation doesn't answer @Shawn_Jeffords question (asked twice) ""Do you know of any other members of your… https://t.co/hBePtrcmn7"
1347230873343709186,#onpoli,2021-01-07 17:17,Travisdhanraj,#BREAKING: @globalnewsto has learned in-class learning will NOT resume Monday...more to come #ONpoli #ONted
1347603507533197312,#onpoli,2021-01-08 17:58,Travisdhanraj,"#NEW: @AndreaHorwath says ""I don’t want to wait till Tuesday to fall off my chair to see what the modelling shows.… https://t.co/G0ZrxlQ8vG"
1346540172893155330,#onpoli,2021-01-05 19:32,randyhillier,This is the young man who was arrested by Toronto police yesterday and died soon afterwards. Loss of Beloved Moses… https://t.co/KdIKEpqTed
1346535046077886464,#onpoli,2021-01-05 19:12,coteau,"It’s time to pick up the pace @fordnation! 

Ontario’s slow rollout has meant that more people are getting infected… https://t.co/cTXaGfTqSR"
1346504763526029326,#onpoli,2021-01-05 17:12,maritstiles,"Ford &amp; Lecce need to stop treating the problem of thousands of student, teacher &amp; staff infections like a communica… https://t.co/IflrTKWDfP"
1346498540130996224,#onpoli,2021-01-05 16:47,randyhillier,"People will behave normally &amp; contravene the orders in private, but act differently in public, isn’t that the same… https://t.co/ciAMDih8XQ"
1346537127270641664,#onpoli,2021-01-05 19:20,maritstiles,"With most students &amp; staff returning to bricks &amp; mortar schools in about a week, we need urgent action &amp; investment… https://t.co/fEZxPPs0nF"
1346514128135925770,#onpoli,2021-01-05 17:49,Travisdhanraj,Here's @GilaMartow's statement on her &amp; her son's cottage visit..he went with 7 buddies apparently all in his socia… https://t.co/wVYJPQrnoE
1346539025004449793,#onpoli,2021-01-05 19:28,Travisdhanraj,"On vaccine rollout @fordnation says... 

“Once we put team Ontario behind it we become the leaders and we will beco… https://t.co/lTY78FHgg3"
1346522611711438850,#onpoli,2021-01-05 18:23,robferguson1,"NEW: Ontario will use all existing stocks of #COVID19 vaccines by end of this weekend, and new shipment of 47,000 P… https://t.co/qDcJpUVLtV"
1346479242104557571,#onpoli,2021-01-05 15:30,spaikin,A finance minister resigns; problems in #LongTermCare; &amp; slow vaccine rollouts. Grist for tonight’s mill w/ ⁦… https://t.co/ryTypSYob2
1346535099827953664,#onpoli,2021-01-05 19:12,PBethlenfalvy,Sat down with @spaikin to talk about why I'm confident Ontario will bounce back stronger from the #COVID19 pandemic… https://t.co/GgAxLkPvJv
1346478532361293830,#onpoli,2021-01-05 15:27,PBethlenfalvy,Ontario has what it takes to bounce back &amp; I'm committed to ensuring we're on the path to long-term economic recove… https://t.co/b2mLGzqg3W
1346487695271473153,#onpoli,2021-01-05 16:04,LGretzky,"I’ve been talking to &amp; working w constituents since the legislature recessed but,in order to work on collaborative… https://t.co/CRH4lpe4zI"
1346485008056406017,#onpoli,2021-01-05 15:53,RMComedy,How can the leader of a province go MIA while record-breaking numbers of positive COVID-19 cases continue to climb?… https://t.co/4WsQY4qpp1
1346506386767638529,#onpoli,2021-01-05 17:18,TheAgenda,"Broken promises, unceded land: The history behind the Land Back Lane protest — by @mr_lois_lane #Indigenous #onpoli https://t.co/xSt5KSGAMt"
1348682083452002306,#PaidSickDays,2021-01-11 17:24,maritstiles,"Call back the Legislature, @fordnation 
We need mandated #paidsickdays. We need them now. It’s clear nothing will h… https://t.co/suj0Ug9i1F"
1348984814624534531,#PaidSickDays,2021-01-12 13:26,JILLSLASTWORD,YES! We @OntarioNDP have been calling for #PaidSickDays from day one! You cannot prevent #COVID19 community spread… https://t.co/RG48lBiScV
1348665035413983237,#PaidSickDays,2021-01-11 16:16,DolyBegum,.@fordnation removed paid sick days in 2018 as one of his first acts in office - that lack of security has endanger… https://t.co/0lwEPlEwtu
1348652148448518151,#PaidSickDays,2021-01-11 15:25,CFifeKW,"Ford continues to claim ""everything is on the table"" - except provincially funded, paid sick days.   It's a very sm… https://t.co/yU5YbJnRyO"
1349044054965805061,#PaidSickDays,2021-01-12 17:22,beyrima,"The public health doctors have been clear: 

People who are sick can’t stay home without #paidsickdays, a moratoriu… https://t.co/VZobm2bk1T"
1348646502814638081,#PaidSickDays,2021-01-11 15:02,PeggySattlerNDP,"Thank you to @epdevilla &amp; @TOPublicHealth for this important advocacy, at this critical time. Listen up @Fordnation… https://t.co/CYqvYoxbfH"
1349111487344865282,#PaidSickDays,2021-01-12 21:50,maritstiles,Too bad that 800lb gorilla didn’t get the memo about #PaidSickDays https://t.co/A8Omsn6waW
1348805267920728067,#PaidSickDays,2021-01-12 01:33,DolyBegum,We are in a crisis that is disproportionately impacting low-income and racialized workers. This gov. has shown no r… https://t.co/eVUL1hFacu
1348814897250004995,#PaidSickDays,2021-01-12 02:11,DolyBegum,"Hallelujah!!!!!!!

Well the easy thing about this is that there is a bill already tabled and Premier @fordnation ca… https://t.co/rWHBAof9hn"
